TIMESTAMP,wnd_spd,wnd_spd_max,wnd_spd_min,u_star,wnd_dir_sonic
01-01-15 01,0.8807161,0.8807161,0.8807161,0.05405835,162.7107
01-01-15 02,0.53427385,0.679484,0.3890637,0.03523612,54.2485
01-01-15 03,0.72628955,0.7743281,0.678251,0.03832012,-117.75435
01-01-15 04,1.0084525,1.107919,0.908986,0.061479455,129.82625
01-01-15 05,1.0190418,1.092352,0.9457316,0.024612275,130.46775
01-01-15 06,0.5310596,0.670951,0.3911682,0.048043665,21.1769
01-01-15 07,0.33606185,0.3512062,0.3209175,0.068184485,-68.2297015
01-01-15 08,0.87135065,1.185393,0.5573083,0.17914885,55.105205
01-01-15 09,1.9704125,2.534766,1.406059,0.3609756,-10.144487
01-01-15 10,2.953575,3.00037,2.90678,0.45096145,-14.9167945
01-01-15 11,3.3798025,3.491947,3.267658,0.4859797,-17.71474
01-01-15 12,3.209336,3.327295,3.091377,0.57225535,-33.891605
01-01-15 13,2.7071565,2.74468,2.669633,0.40737865,-19.31531
01-01-15 14,2.1779455,2.256045,2.099846,0.3072483,-17.20645
01-01-15 15,2.239852,2.275681,2.204023,0.3631122,-39.04129
01-01-15 16,2.3844985,2.416969,2.352028,0.4271004,-48.338625
01-01-15 17,2.6536455,2.682897,2.624394,0.4556677,-52.927705
01-01-15 18,1.85117,2.168401,1.533939,0.2468363,-70.62749
01-01-15 19,1.5774835,1.672283,1.482684,0.11568404,-104.86098
01-01-15 20,1.497463,1.547976,1.44695,0.11560985,-91.025285
01-01-15 21,1.3818605,1.411362,1.352359,0.10136215,-87.040925
01-01-15 22,1.205599,1.332757,1.078441,0.056956105,14.0223
01-01-15 23,1.339576,1.352067,1.327085,0.05236243,133.05425
01-02-15 00,1.8856175,1.892334,1.878901,0.17641185,-141.31635
01-02-15 01,2.2232825,2.240686,2.205879,0.2057133,-148.4355
01-02-15 02,1.2521348,1.617047,0.8872226,0.14916469,-46.802095
01-02-15 03,0.8547109,1.219623,0.4897988,0.103247975,-22.8292
01-02-15 04,1.9199185,1.978554,1.861283,0.2183565,-144.04025
01-02-15 05,1.669145,1.860306,1.477984,0.2164289,-131.60145
01-02-15 06,0.9587812,1.255139,0.6624234,0.106598765,-125.59195
01-02-15 07,2.153283,2.441993,1.864573,0.3372298,-115.44775
01-02-15 08,2.201433,2.489307,1.913559,0.39384135,-68.45189
01-02-15 09,3.18327,3.258663,3.107877,0.5053881,-49.79266
01-02-15 10,3.5984095,4.122226,3.074593,0.64555635,-52.16577
01-02-15 11,3.7898975,3.89569,3.684105,0.68860605,-46.101775
01-02-15 12,4.0352515,4.386442,3.684061,0.77004025,-74.385805
01-02-15 13,3.7072635,3.878231,3.536296,0.6418355,-63.45529
01-02-15 14,3.4542175,3.607372,3.301063,0.63023955,-72.49512
01-02-15 15,3.198029,3.243829,3.152229,0.63858255,-66.25848
01-02-15 16,3.036556,3.070621,3.002491,0.5701779,-77.555725
01-02-15 17,2.4561025,2.570717,2.341488,0.4409608,-65.040055
01-02-15 18,1.831936,2.091444,1.572428,0.2731128,-81.95348
01-02-15 19,1.432575,1.497865,1.367285,0.087132035,-115.7512
01-02-15 20,1.660805,1.812381,1.509229,0.14484245,-132.3753
01-02-15 21,1.763744,1.776036,1.751452,0.16795,-136.14655
01-02-15 22,1.618462,1.688744,1.54818,0.1221216,-141.2687
01-02-15 23,1.8917495,1.905652,1.877847,0.1698954,-135.53005
01-03-15 00,0.98427735,1.010645,0.9579097,0.1041617,95.94076
01-03-15 01,1.0177489,1.136689,0.8988088,0.133917,114.3754
01-03-15 02,1.3726625,1.741512,1.003813,0.112387195,116.20272
01-03-15 03,0.76039805,0.9678188,0.5529773,0.08606213,96.730075
01-03-15 04,1.1817971,1.440962,0.9226322,0.10460322,91.5478
01-03-15 05,0.61419895,0.7904766,0.4379213,0.032326485,99.43034
01-03-15 06,0.63877605,0.6846072,0.5929449,0.047541155,142.1094
01-03-15 07,0.6496515,0.7414891,0.5578139,0.08919672,-119.72285
01-03-15 08,1.0718128,1.443902,0.6997236,0.20738155,-93.726
01-03-15 09,1.963167,2.252385,1.673949,0.3725143,-103.16202
01-03-15 10,2.0499485,2.098742,2.001155,0.3586456,-75.4682
01-03-15 11,2.104402,2.26199,1.946814,0.39728765,-74.19145
01-03-15 12,2.358775,2.382735,2.334815,0.3877108,-88.5692
01-03-15 13,2.148321,2.379722,1.91692,0.3772716,20.681905
01-03-15 14,1.8188355,2.195096,1.442575,0.3659787,141.755
01-03-15 15,1.3869635,1.504525,1.269402,0.23850235,-20.627166
01-03-15 16,1.4638685,1.595683,1.332054,0.2734518,57.09301
01-03-15 17,2.9479495,3.395898,2.500001,0.5575827,41.424555
01-03-15 18,2.9344015,4.099982,1.768821,0.43376035,9.587625
01-03-15 19,1.5625695,1.740853,1.384286,0.3600271,-105.41086
01-03-15 20,1.3314185,1.579524,1.083313,0.5851682,-69.48404
01-03-15 21,1.4569345,1.560665,1.353204,0.36583465,-66.55881
01-03-15 22,1.452185,1.475223,1.429147,0.38835275,-44.220105
01-03-15 23,1.9286946,2.940817,0.9165722,0.5152775,120.0392
01-04-15 00,1.1125395,1.187082,1.037997,0.067243485,147.33745
01-04-15 01,1.1838081,1.575331,0.7922852,0.06342597,135.68515
01-04-15 02,1.5681525,1.576383,1.559922,0.1553508,169.5684
01-04-15 03,1.79665,1.894393,1.698907,0.257028,168.6444
01-04-15 04,1.501326,1.876692,1.12596,0.22797575,0.87675
01-04-15 05,0.7904684,0.9057215,0.6752153,0.07292932,15.36375
01-04-15 06,0.7153804,0.945862,0.4848988,0.057599625,166.88095
01-04-15 07,0.5942811,0.7373352,0.451227,0.084212045,29.152145
01-04-15 08,1.3292846,1.756389,0.9021802,0.23626135,-99.48278
01-04-15 09,2.038452,2.15552,1.921384,0.3992655,-145.66285
01-04-15 10,2.178639,2.181871,2.175407,0.42906085,-143.2731
01-04-15 11,2.132734,2.265595,1.999873,0.4108181,-137.4644
01-04-15 12,2.0331575,2.098079,1.968236,0.4563504,-126.6755
01-04-15 13,1.9905395,2.202379,1.7787,0.3447503,-152.90925
01-04-15 14,1.809287,1.855017,1.763557,0.37968985,-154.20065
01-04-15 15,1.5191625,1.64134,1.396985,0.2744967,-161.95795
01-04-15 16,0.9203551,0.9519204,0.8887898,0.1591786,-154.687
01-04-15 17,1.6480195,1.888126,1.407913,0.1661714,-12.943606
01-04-15 18,1.19610855,1.550519,0.8416981,0.11989939,-39.46675
01-04-15 19,0.6716061,0.8336084,0.5096038,0.04554037,112.28715
01-04-15 20,1.525011,1.694717,1.355305,0.09413834,144.18845
01-04-15 21,1.346568,1.435599,1.257537,0.12651385,154.16755
01-04-15 22,1.4301705,1.726895,1.133446,0.100820515,137.9032
01-04-15 23,1.285734,1.285744,1.285724,0.1061888,171.51615
01-05-15 00,0.5898204,0.9013817,0.2782591,0.065866425,-91.39565
01-05-15 01,0.64238595,0.8912081,0.3935638,0.07147135,-141.4806
01-05-15 02,1.1713075,1.19321,1.149405,0.10090204,-83.86838
01-05-15 03,0.66269895,0.6859367,0.6394612,0.03189787,-56.69783
01-05-15 04,0.55015975,0.6901708,0.4101487,0.021548205,-58.482865
01-05-15 05,0.59389295,0.6462649,0.541521,0.033572895,-77.967195
01-05-15 06,1.058384,1.091706,1.025062,0.10164333,-88.360735
01-05-15 07,1.3715505,1.381823,1.361278,0.21211945,-64.387985
01-05-15 08,1.18762995,1.399262,0.9759979,0.16701455,-30.46071
01-05-15 09,1.382845,1.39853,1.36716,0.24258345,-33.70793
01-05-15 10,2.403017,2.603824,2.20221,0.45690185,-72.62193
01-05-15 11,2.964376,3.013832,2.91492,0.60114565,-84.58809
01-05-15 12,3.0952645,3.267977,2.922552,0.5778648,-62.225555
01-05-15 13,2.777088,2.956114,2.598062,0.4966927,-52.142565
01-05-15 14,2.837455,2.882154,2.792756,0.53694135,-59.69931
01-05-15 15,2.442083,2.523746,2.36042,0.461087,-81.91736
01-05-15 16,2.401844,2.491963,2.311725,0.4078194,-87.745545
01-05-15 17,1.847213,1.910414,1.784012,0.3520648,-91.41057
01-05-15 18,1.3503865,1.352086,1.348687,0.1310566,-95.86228
01-05-15 19,1.5283595,1.550713,1.506006,0.13117195,-109.5323
01-05-15 20,1.5780985,1.621186,1.535011,0.13655095,-106.86335
01-05-15 21,1.5429765,1.58486,1.501093,0.1323966,-109.84145
01-05-15 22,1.3718585,1.435997,1.30772,0.084447085,-116.2099
01-05-15 23,0.9171129,1.134447,0.6997788,0.06389585,-110.10745
01-06-15 00,1.0346425,1.051854,1.017431,0.07557783,-121.2764
01-06-15 01,1.0914625,1.158597,1.024328,0.065653875,-127.22815
01-06-15 02,1.03440525,1.208013,0.8607975,0.05380842,-137.8854
01-06-15 03,0.98489395,1.068852,0.9009359,0.09363616,-148.72445
01-06-15 04,1.4418295,1.537273,1.346386,0.108381445,-130.1088
01-06-15 05,0.6357391,0.7727036,0.4987746,0.088037965,-119.60895
01-06-15 06,1.2197995,1.50469,0.934909,0.070656475,-131.76345
01-06-15 07,1.3410065,1.45402,1.227993,0.13093835,-116.3791
01-06-15 08,1.9498335,2.249482,1.650185,0.3487004,-104.810665
01-06-15 09,2.8299155,2.831681,2.82815,0.4943861,-75.60144
01-06-15 10,2.448279,2.470807,2.425751,0.46388235,-71.551895
01-06-15 11,2.6080765,2.655354,2.560799,0.51814135,-63.345535
01-06-15 12,2.312288,2.345812,2.278764,0.4183278,-57.67058
01-06-15 13,2.397384,2.408616,2.386152,0.42012065,-73.089295
01-06-15 14,1.8709245,1.956943,1.784906,0.35402505,-95.9243
01-06-15 15,2.1913115,2.368239,2.014384,0.39035,-91.596875
01-06-15 16,1.7537685,1.772039,1.735498,0.31749315,-107.11305
01-06-15 17,1.514169,1.577873,1.450465,0.2398209,-109.1222
01-06-15 18,1.374524,1.378427,1.370621,0.1305939,-132.06005
01-06-15 19,1.546513,1.548699,1.544327,0.1648343,-124.57085
01-06-15 20,1.5576005,1.662348,1.452853,0.160969,-121.03605
01-06-15 21,1.550353,1.589167,1.511539,0.14737525,-129.3631
01-06-15 22,1.560629,1.616451,1.504807,0.12758215,-139.32445
01-06-15 23,1.541683,1.562533,1.520833,0.1163686,-122.0447
01-07-15 00,0.93098645,1.111744,0.7502289,0.036656625,154.2014
01-07-15 01,0.78588255,0.9713172,0.6004479,0.03170119,146.62465
01-07-15 02,0.77736765,1.098476,0.4562593,0.06205798,171.88055
01-07-15 03,0.7505362,0.8680862,0.6329862,0.05388718,157.8449
01-07-15 04,0.6141165,0.6817231,0.5465099,0.044045815,-164.16825
01-07-15 05,0.6169639,0.6894261,0.5445017,0.035026765,-161.31655
01-07-15 06,0.40939815,0.4390819,0.3797144,0.02973011,-87.33865
01-07-15 07,0.86819685,0.9496425,0.7867512,0.062987935,32.89608
01-07-15 08,0.53959415,0.6918418,0.3873465,0.08988335,-52.29332
01-07-15 09,1.6269095,1.884109,1.36971,0.26072175,-22.33363
01-07-15 10,2.5299575,2.708739,2.351176,0.42945015,-42.65263
01-07-15 11,2.1739445,2.477212,1.870677,0.27719045,-34.67087
01-07-15 12,1.963262,2.115938,1.810586,0.3079554,12.679663
01-07-15 13,1.514514,1.553801,1.475227,0.26132695,63.72816
01-07-15 14,1.7577095,2.106248,1.409171,0.28873065,-12.452235
01-07-15 15,1.931818,2.385382,1.478254,0.3188665,-30.2123395
01-07-15 16,1.07087445,1.247791,0.8939579,0.17741155,-56.561935
01-07-15 17,1.457501,1.573121,1.341881,0.23581155,-93.398915
01-07-15 18,1.715577,1.913724,1.51743,0.15337085,-116.4631
01-07-15 19,1.853127,1.867601,1.838653,0.1699759,-115.9396
01-07-15 20,1.616114,1.702727,1.529501,0.14128725,-131.5852
01-07-15 21,1.520588,1.729343,1.311833,0.1384252,-129.09145
01-07-15 22,0.79628335,1.137446,0.4551207,0.103706885,-151.1475
01-07-15 23,1.502045,1.70286,1.30123,0.110012715,-128.1509
01-08-15 00,1.899277,1.990783,1.807771,0.19405175,-117.9249
01-08-15 01,1.7004505,1.839684,1.561217,0.1653514,-123.2393
01-08-15 02,1.785796,1.799971,1.771621,0.1970221,-132.4776
01-08-15 03,1.978238,1.980778,1.975698,0.21166345,-141.1213
01-08-15 04,1.706344,1.803804,1.608884,0.1512419,-140.2579
01-08-15 05,1.683011,1.745791,1.620231,0.1544517,-123.51235
01-08-15 06,1.981743,1.998081,1.965405,0.21238015,-119.534
01-08-15 07,1.5435685,1.691138,1.395999,0.18969975,-90.772395
01-08-15 08,2.8770275,3.529699,2.224356,0.5356755,-75.545365
01-08-15 09,3.789544,3.938899,3.640189,0.72594915,-68.778995
01-08-15 10,4.1720855,4.492024,3.852147,0.770636,-63.78906
01-08-15 11,3.719396,3.745277,3.693515,0.76021105,-67.15695
01-08-15 12,3.7108505,3.838963,3.582738,0.7470034,-74.040465
01-08-15 13,3.3320805,3.618288,3.045873,0.7188412,-82.534115
01-08-15 14,3.544914,3.634063,3.455765,0.64667705,-71.627895
01-08-15 15,3.435698,3.605627,3.265769,0.62142415,-85.62183
01-08-15 16,2.9012045,2.919637,2.882772,0.5507024,-86.487365
01-08-15 17,2.5336475,2.547526,2.519769,0.4640019,-85.256285
01-08-15 18,2.3057155,2.321633,2.289798,0.3167952,-116.27195
01-08-15 19,2.17937,2.197849,2.160891,0.2893462,-128.8557
01-08-15 20,2.1553315,2.229081,2.081582,0.27333885,-125.61205
01-08-15 21,2.4096795,2.463685,2.355674,0.2805967,-118.26835
01-08-15 22,2.0163635,2.022565,2.010162,0.2212595,-112.01575
01-08-15 23,2.025734,2.084526,1.966942,0.21497425,-115.20845
01-09-15 00,1.6661265,1.677014,1.655239,0.13117315,-132.49095
01-09-15 01,1.526431,1.631076,1.421786,0.108613205,-142.9111
01-09-15 02,1.518516,1.543417,1.493615,0.1070644,-139.0581
01-09-15 03,1.339573,1.374991,1.304155,0.08732792,-141.46565
01-09-15 04,0.6430917,0.9465379,0.3396455,0.09455178,25.1129
01-09-15 05,0.75134905,0.7653514,0.7373467,0.05379707,121.3972
01-09-15 06,0.71642935,0.7909803,0.6418784,0.033716765,-14.1571
01-09-15 07,1.0216682,1.05362,0.9897164,0.084461605,-120.26445
01-09-15 08,1.2113622,1.462478,0.9602464,0.27245355,-86.983935
01-09-15 09,2.161839,2.260142,2.063536,0.4296929,-100.43647
01-09-15 10,2.464816,2.657161,2.272471,0.4536995,-85.23996
01-09-15 11,2.360405,2.545035,2.175775,0.44822935,-64.750685
01-09-15 12,2.7534485,2.834705,2.672192,0.4747601,-92.249085
01-09-15 13,2.643658,2.776191,2.511125,0.5432553,-116.383435
01-09-15 14,2.5900975,2.646387,2.533808,0.489733,-125.7493
01-09-15 15,2.32655,2.631114,2.021986,0.46754685,-98.274005
01-09-15 16,2.2907585,2.416353,2.165164,0.4711491,-127.95655
01-09-15 17,1.965316,2.564399,1.366233,0.3496475,-136.1068
01-09-15 18,1.743239,1.82866,1.657818,0.1774289,-142.31545
01-09-15 19,1.862635,1.880888,1.844382,0.14680065,-135.4534
01-09-15 20,1.6975195,1.78946,1.605579,0.1333279,-126.72865
01-09-15 21,1.7794575,1.796305,1.76261,0.15095285,-123.84525
01-09-15 22,1.7183195,1.763237,1.673402,0.14933945,-122.45285
01-09-15 23,1.433395,1.507805,1.358985,0.100871205,-120.4255
01-10-15 00,1.6926025,1.804241,1.580964,0.17016625,-169.7042
01-10-15 01,1.494781,1.705845,1.283717,0.1780843,-170.7589
01-10-15 02,1.674403,1.942133,1.406673,0.1933554,-161.83575
01-10-15 03,1.9491085,1.967734,1.930483,0.1962755,-151.9181
01-10-15 04,1.8471935,2.044244,1.650143,0.2118748,-126.3669
01-10-15 05,2.1799985,2.287778,2.072219,0.24871165,-119.0822
01-10-15 06,2.2427175,2.25596,2.229475,0.2473166,-116.2178
01-10-15 07,2.056844,2.234785,1.878903,0.2899681,-102.88187
01-10-15 08,2.849221,3.35205,2.346392,0.49453645,-62.849105
01-10-15 09,3.681666,3.685072,3.67826,0.63037975,-47.084225
01-10-15 10,3.660219,3.753993,3.566445,0.6492218,-36.299285
01-10-15 11,3.7434745,3.806673,3.680276,0.59361245,-29.982375
01-10-15 12,3.572842,3.748955,3.396729,0.60163545,-46.97444
01-10-15 13,3.120342,3.146235,3.094449,0.61376685,-63.094895
01-10-15 14,2.7528925,3.069312,2.436473,0.49395265,-47.11174
01-10-15 15,2.5149635,2.556032,2.473895,0.5337851,-58.32831
01-10-15 16,2.0124355,2.2176,1.807271,0.38935125,-78.606795
01-10-15 17,1.977674,2.071241,1.884107,0.3401481,-60.23352
01-10-15 18,1.3040495,1.463294,1.144805,0.14132135,-100.75349
01-10-15 19,1.8140035,1.836836,1.791171,0.1927667,-124.0446
01-10-15 20,2.226927,2.351609,2.102245,0.24880925,-118.50715
01-10-15 21,2.437558,2.497538,2.377578,0.2806021,-117.14895
01-10-15 22,2.3460795,2.354931,2.337228,0.2794434,-114.58045
01-10-15 23,2.2983345,2.426522,2.170147,0.2754428,-114.02245
01-11-15 00,0.8832686,0.9934021,0.7731351,0.10720126,14.85289
01-11-15 01,0.48904775,0.5469961,0.4310994,0.055044215,-139.4439
01-11-15 02,0.7698006,0.9026053,0.6369959,0.11498516,-153.29355
01-11-15 03,0.8114365,0.8513211,0.7715519,0.125801775,136.68415
01-11-15 04,0.65236115,0.7214686,0.5832537,0.1280293,-94.428905
01-11-15 05,1.2049264,1.559543,0.8503098,0.152353125,-132.13795
01-11-15 06,1.11250185,1.548552,0.6764517,0.1946567,-92.066685
01-11-15 07,1.0859418,1.250862,0.9210216,0.16187335,9.442235
01-11-15 08,1.740994,1.768706,1.713282,0.21184185,-13.880845
01-11-15 09,1.7957885,2.100469,1.491108,0.289723,-23.92232
01-11-15 10,2.219276,2.302336,2.136216,0.3302594,2.559278
01-11-15 11,2.266512,2.47119,2.061834,0.3893984,19.185605
01-11-15 12,2.843363,2.977765,2.708961,0.5275278,28.90255
01-11-15 13,2.4550375,2.595615,2.31446,0.32734025,-38.482895
01-11-15 14,2.1848445,2.637078,1.732611,0.31111375,-32.01233
01-11-15 15,1.506659,1.610993,1.402325,0.24527635,-87.82621
01-11-15 16,1.04611665,1.175864,0.9163693,0.1258158,13.902055
01-11-15 17,1.632,1.970053,1.293947,0.26582295,41.316435
01-11-15 18,1.267204,1.316862,1.217546,0.196846,25.9849675
01-11-15 19,0.77232245,0.792707,0.7519379,0.09817838,19.00296
01-11-15 20,0.73756195,0.8856312,0.5894927,0.074038615,97.454575
01-11-15 21,1.0030603,1.106461,0.8996596,0.10360961,64.10821
01-11-15 22,0.71241815,0.9014674,0.5233689,0.06546078,77.042435
01-11-15 23,1.0856471,1.210274,0.9610202,0.05832886,103.87869
01-12-15 00,1.6662995,1.780811,1.551788,0.2829282,-17.64815
01-12-15 01,2.6523215,2.763398,2.541245,0.4036666,-170.6471
01-12-15 02,2.1049665,2.250544,1.959389,0.3337062,1.1208
01-12-15 03,2.5934945,2.610267,2.576722,0.3728569,-164.9503
01-12-15 04,2.100232,2.787323,1.413141,0.3359707,-72.93457
01-12-15 05,0.82923375,1.018784,0.6396835,0.10876212,-127.309285
01-12-15 06,1.55851,1.63792,1.4791,0.1823887,-62.44383
01-12-15 07,1.762875,2.168095,1.357655,0.240752,74.75415
01-12-15 08,1.37586,1.565586,1.186134,0.2683043,28.12425
01-12-15 09,2.124069,2.677225,1.570913,0.38920015,-100.152845
01-12-15 10,3.914235,3.926041,3.902429,0.73871085,-99.73095
01-12-15 11,3.755621,3.933816,3.577426,0.69934615,-103.4145
01-12-15 12,3.806474,3.811852,3.801096,0.73760345,-97.668035
01-12-15 13,3.3062325,3.346718,3.265747,0.61420675,-92.036015
01-12-15 14,3.096768,3.113306,3.08023,0.5804133,-71.05693
01-12-15 15,2.4959825,2.679208,2.312757,0.50733015,-89.93105
01-12-15 16,2.4298665,2.491225,2.368508,0.40981275,-88.26044
01-12-15 17,2.673676,2.725286,2.622066,0.4972135,-78.79094
01-12-15 18,1.617792,1.901375,1.334209,0.24316655,-92.681945
01-12-15 19,1.2878995,1.289533,1.286266,0.1184569,-101.12632
01-12-15 20,1.158419,1.2513,1.065538,0.07127808,-109.4452
01-12-15 21,1.483082,1.624369,1.341795,0.117559525,-143.8123
01-12-15 22,0.8176563,0.8953719,0.7399407,0.103175625,-28.6451
01-12-15 23,0.89597365,1.029582,0.7623653,0.07562598,-10.8821
02-01-15 00,1.15163925,1.303807,0.9994715,0.048345725,140.09845
02-01-15 01,1.6050675,1.659311,1.550824,0.067245715,120.45175
02-01-15 02,1.762096,1.770569,1.753623,0.10139838,127.16685
02-01-15 03,1.4465595,1.614949,1.27817,0.06741315,118.3376
02-01-15 04,0.84139825,0.8806107,0.8021858,0.03364662,128.9485
02-01-15 05,1.0682232,1.333029,0.8034174,0.080535585,135.5926
02-01-15 06,0.74102275,0.9445695,0.537476,0.07660928,-14.81192
02-01-15 07,0.57882265,0.649344,0.5083013,0.109257855,67.35082
02-01-15 08,1.5659655,1.78224,1.349691,0.36735695,138.6729
02-01-15 09,1.44973,1.694177,1.205283,0.2898484,116.34014
02-01-15 10,1.2910195,1.362836,1.219203,0.11103249,68.774635
02-01-15 11,1.8664035,2.213037,1.51977,0.33019735,-121.7008
02-01-15 12,2.452334,2.48042,2.424248,0.43522075,171.7749
02-01-15 13,2.436911,2.537679,2.336143,0.4392535,146.28455
02-01-15 14,2.992635,3.51845,2.46682,0.51493545,89.021135
02-01-15 15,2.5820375,2.735438,2.428637,0.4109552,95.943685
02-01-15 16,2.003108,2.365799,1.640417,0.346849,81.913325
02-01-15 17,1.6280705,1.670608,1.585533,0.31975015,52.150005
02-01-15 18,1.3557835,1.540205,1.171362,0.171017,112.50195
02-01-15 19,2.015819,2.444657,1.586981,0.3026342,-145.67395
02-01-15 20,1.592683,1.648386,1.53698,0.20597085,84.26271
02-01-15 21,0.97702075,0.9938238,0.9602177,0.082697785,26.4382
02-01-15 22,1.2467782,1.669004,0.8245524,0.14979967,-0.8383
02-01-15 23,1.761183,2.006115,1.516251,0.20261295,170.5026
02-02-15 00,1.473367,1.49319,1.453544,0.1010924,-138.3189
02-02-15 01,1.2862395,1.39586,1.176619,0.095744395,-135.4999
02-02-15 02,0.86101305,0.9315606,0.7904655,0.096526395,4.84425
02-02-15 03,1.2199405,1.408026,1.031855,0.080478935,2.97305
02-02-15 04,1.04185265,1.123764,0.9599413,0.09295872,-115.55025
02-02-15 05,0.8104765,0.9313954,0.6895576,0.0487598,-144.29375
02-02-15 06,0.89885155,0.9306731,0.86703,0.055472985,-122.94245
02-02-15 07,1.42318,1.459105,1.387255,0.1808792,-130.64855
02-02-15 08,2.5850125,2.913428,2.256597,0.47101095,-117.3926
02-02-15 09,3.0211005,3.318005,2.724196,0.58380575,-114.4376
02-02-15 10,3.134686,3.296146,2.973226,0.58455385,-107.7523
02-02-15 11,2.477273,2.516454,2.438092,0.51746445,-111.2244
02-02-15 12,2.257774,2.654165,1.861383,0.4662129,-128.31145
02-02-15 13,2.535472,2.668591,2.402353,0.4581274,-87.47954
02-02-15 14,2.8561415,2.866967,2.845316,0.5439111,-109.0682
02-02-15 15,2.70833,2.768498,2.648162,0.50969365,-99.41997
02-02-15 16,2.7005715,2.874312,2.526831,0.4559573,-75.15315
02-02-15 17,2.2843775,2.452112,2.116643,0.4243857,-79.701675
02-02-15 18,1.720404,2.013481,1.427327,0.2929356,-79.946415
02-02-15 19,1.312284,1.327453,1.297115,0.08725828,-119.9534
02-02-15 20,1.6030545,1.687405,1.518704,0.1244514,-117.07815
02-02-15 21,1.499115,1.586153,1.412077,0.11592785,-116.2799
02-02-15 22,1.60224,1.645127,1.559353,0.12664885,-121.02725
02-02-15 23,1.18072785,1.426795,0.9346607,0.078539365,-116.0458
02-03-15 00,0.7063157,0.9698883,0.4427431,0.24696752,-76.672
02-03-15 01,0.26800695,0.2848389,0.251175,0.019847855,1.73966
02-03-15 02,0.67696055,0.7053817,0.6485394,0.054080725,108.41128
02-03-15 03,0.80630585,1.025516,0.5870957,0.062453265,86.189195
02-03-15 04,1.03879585,1.265375,0.8122167,0.1324613,150.4607
02-03-15 05,0.76790845,0.8829874,0.6528295,0.034846665,-95.16298
02-03-15 06,0.88844125,1.009633,0.7672495,0.072924825,-87.39836
02-03-15 07,0.94602,0.9706774,0.9213626,0.14230285,-88.318435
02-03-15 08,1.3125625,1.567156,1.057969,0.27642595,-65.97464
02-03-15 09,2.7188855,2.92838,2.509391,0.42912935,-49.964265
02-03-15 10,3.4113695,3.534607,3.288132,0.5734666,-60.396745
02-03-15 11,3.0876265,3.241821,2.933432,0.49835755,-52.97383
02-03-15 12,2.5801205,2.839799,2.320442,0.44185625,-30.00444
02-03-15 13,2.301395,2.429079,2.173711,0.3704846,-21.056395
02-03-15 14,2.8130565,2.986755,2.639358,0.5083565,-84.133515
02-03-15 15,2.380778,2.385782,2.375774,0.396046,-112.45358
02-03-15 16,2.2112515,2.450082,1.972421,0.4206034,-146.35935
02-03-15 17,1.230009,1.318514,1.141504,0.23680675,-120.1715
02-03-15 18,1.3369,1.395964,1.277836,0.1940675,-105.12835
02-03-15 19,2.127432,2.214563,2.040301,0.3411675,-124.3242
02-03-15 20,2.4729585,2.48701,2.458907,0.394192,-133.8857
02-03-15 21,2.899776,2.944221,2.855331,0.5072321,-120.86925
02-03-15 22,1.709439,2.11904,1.299838,0.28088555,-102.20429
02-03-15 23,1.4156235,1.774841,1.056406,0.16718494,-78.97029
02-04-15 00,1.3587435,1.367301,1.350186,0.07156543,160.22585
02-04-15 01,1.9465205,2.244862,1.648179,0.2349879,153.9046
02-04-15 02,2.1000395,2.17552,2.024559,0.34358755,171.4204
02-04-15 03,1.852348,1.856516,1.84818,0.2603789,-177.2611
02-04-15 04,1.586957,1.713475,1.460439,0.26129425,176.36445
02-04-15 05,1.7446695,1.881209,1.60813,0.2437441,-173.59445
02-04-15 06,1.9877615,1.994291,1.981232,0.26078735,-174.50895
02-04-15 07,2.1460345,2.24663,2.045439,0.3118979,-162.70275
02-04-15 08,2.34239,2.40481,2.27997,0.4175462,-143.90045
02-04-15 09,2.623108,2.691043,2.555173,0.48091345,-132.53775
02-04-15 10,1.8927005,2.010573,1.774828,0.36671845,-136.3106
02-04-15 11,1.731187,1.741511,1.720863,0.432416,-125.0551
02-04-15 12,1.454303,1.539426,1.36918,0.3459669,-113.13485
02-04-15 13,1.5122775,1.546047,1.478508,0.26620835,87.507055
02-04-15 14,2.5780905,2.727226,2.428955,0.38366905,82.63519
02-04-15 15,1.775765,2.289789,1.261741,0.3372064,110.51934
02-04-15 16,1.8455385,1.981039,1.710038,0.3583572,23.76722
02-04-15 17,2.158372,2.297047,2.019697,0.38743225,-107.81497
02-04-15 18,1.6241545,2.050706,1.197603,0.26609445,-100.155525
02-04-15 19,0.8200911,0.8649242,0.775258,0.08026374,-106.87515
02-04-15 20,0.92000665,1.080971,0.7590423,0.07703726,154.38595
